"activityLabel","chebiID"
"9-Ribosyl-trans-zeatin;Zeatin-9-beta-D-ribofuranoside","CHEBI_71693"
"9-Ribosyl-trans-zeatin","CHEBI_71693"
"Zeatin-9-beta-D-ribofuranoside","CHEBI_71693"
"p-Coumaric acid","CHEBI_32374"
"(-)-Jasmonic acid;Jasmonic acid;trans-Jasmonic acid;3-Oxo-2-(2Z-pentenyl)cyclotentylacetic acid","CHEBI_18292"
"(-)-Jasmonic acid","CHEBI_18292"
"3-Oxo-2-(2Z-pentenyl)cyclotentylacetic acid","CHEBI_18292"
"Jasmonic acid","CHEBI_18292"
"trans-Jasmonic acid","CHEBI_18292"
"Podolactone B","CHEBI_8278"
"(+)-Epijasmonic acid;7-iso-Jasmonic acid","CHEBI_18435"
"(+)-Epijasmonic acid","CHEBI_18435"
"7-iso-Jasmonic acid","CHEBI_18435"
"(+)-Eudesmin;Eudesmin","CHEBI_23"
"(+)-Eudesmin","CHEBI_23"
"Eudesmin","CHEBI_23"
"cis-Hinokiresinol","CHEBI_435764"
"(-)-Limonene","CHEBI_15383"
"alpha-Pinene","CHEBI_36740"
"(+)-Pulegone;(+)-(R)-Pulegone","CHEBI_35596"
"(+)-(R)-Pulegone","CHEBI_35596"
"(+)-Pulegone","CHEBI_35596"
"4-Hydroxybenzoic acid;p-Hydroxybenzoic acid","CHEBI_30763"
"4-Hydroxybenzoic acid","CHEBI_30763"
"p-Hydroxybenzoic acid","CHEBI_30763"
"7,4'-Dihydroxyflavan;Cassiaflavan","CHEBI_2246"
"7,4'-Dihydroxyflavan","CHEBI_2246"
"Cassiaflavan","CHEBI_2246"
"Glycyphyllin","CHEBI_27400"
"Hesperidin","CHEBI_28775"
"Manniflavanone;Garciniflavanone","CHEBI_27409"
"Garciniflavanone","CHEBI_27409"
"Manniflavanone","CHEBI_27409"
"Chrysosplenol C","CHEBI_3690"
"Flavone","CHEBI_42491"
"Kuwanone G;Albanin F","CHEBI_6146"
"Albanin F","CHEBI_6146"
"Kuwanone G","CHEBI_6146"
"Skullcapflavone II;Neobaicalein","CHEBI_9061"
"Neobaicalein","CHEBI_9061"
"Skullcapflavone II","CHEBI_9061"
"alpha-L-Rhamnopyranose;alpha-L-Rhamnose","CHEBI_27907"
"alpha-L-Rhamnopyranose","CHEBI_27907"
"alpha-L-Rhamnose","CHEBI_27907"
"Raffinose","CHEBI_16634"
"meso-Erythritol;Erythritol","CHEBI_17113"
"meso-Erythritol;Erythritol","CHEBI_48299"
"Erythritol","CHEBI_17113"
"Erythritol","CHEBI_48299"
"meso-Erythritol","CHEBI_17113"
"meso-Erythritol","CHEBI_48299"
"Fumaric acid","CHEBI_18012"
"Succinic acid","CHEBI_15741"
"Nervonic acid","CHEBI_44247"
"Methyl allyl disulfide","CHEBI_6854"
"Carlina oxide","CHEBI_3420"
"Wyerone","CHEBI_10045"
"Purpureacin-1","CHEBI_8643"
"1-Tuliposide A;Tuliposide A","CHEBI_9777"
"1-Tuliposide A","CHEBI_9777"
"Tuliposide A","CHEBI_9777"
"Alliin","CHEBI_2596"
"L-alpha-Amino-beta-oxalylaminopropionic acid","CHEBI_6329"
"Azetidine-2-carboxylic acid;(2S)-2-Azetidinecarboxylic acid;L-Azetidine 2-carboxylic acid","CHEBI_6198"
"(2S)-2-Azetidinecarboxylic acid","CHEBI_6198"
"Azetidine-2-carboxylic acid","CHEBI_6198"
"L-Azetidine 2-carboxylic acid","CHEBI_6198"
"L-Citrulline","CHEBI_16349"
"L-Serine","CHEBI_17822"
"L-Serine","CHEBI_17115"
"L-Tyrosine","CHEBI_17895"
"L-Tyrosine","CHEBI_18186"
"Hexylamine","CHEBI_5712"
"Spermidine","CHEBI_16610"
"Triglochinin","CHEBI_9717"
"Zierin","CHEBI_10111"
"Glucobrassicanapin;4-Pentenyl glucosinolate","CHEBI_79318"
"4-Pentenyl glucosinolate","CHEBI_79318"
"Glucobrassicanapin","CHEBI_79318"
"Glucoraphenin;4-Methylsufinyl-3-butenyl glucosinolate","CHEBI_79367"
"Glucoraphenin;4-Methylsufinyl-3-butenyl glucosinolate","CHEBI_5416"
