source,target
C00035077,33276
C00035564,70478
C00002116,9107
C00001188,151
C00030810,152
C00007306,4170
C00002686,2404
C00019627,9532
C00001359,18050
C00001191,422
C00001427,8613
C00007223,15996
C00007279,16000
C00019552,16001
C00019347,16027
C00019693,16332
C00007444,16335
C00019698,17748
C00001163,17754
C00003648,16113
C00019681,4139
C00001511,17821
C00048438,17824
C00029532,16667
C00007314,16199
C00019353,16761
C00007392,15343
C00007458,15344
C00007258,15346
C00007298,15354
C00001398,16414
C00000736,18094
C00019682,16265
C00001361,15428
C00019343,16908
C00001176,15366
C00019546,15380
C00000848,16584
C00001198,16995
C00003060,10334
C00007623,16530
C00007503,18405
C00001396,16828
C00001186,16891
C00007311,16695
C00001490,16708
C00001366,15699
C00001358,16015
C00007560,16108
C00019654,15570
C00001134,17057
C00007294,16057
C00007238,17200
C00001388,17203
C00007251,15637
C00001393,17115
C00001428,17148
C00001501,16235
C00007413,5445
C00031480,16971
C00001552,17015
C00001183,18012
C00001378,18019
C00019545,16474
C00019346,16497
C00001136,17716
C00001351,17561
C00007280,15499
C00001379,16643
C00007313,17659
C00007446,17980
C00001151,17992
C00001377,15603
C00001518,16856
C00001394,16857
C00001122,17925
C00001126,4208
C00035187,16731
C00002413,122
C00007296,17111
C00001341,17196
C00007224,17202
C00007229,15919
C00000208,15940
C00007260,15531
C00001150,17164
C00000388,15843
C00007256,15846
C00001400,17431
C00038791,17450
C00002660,17254
C00001384,15729
C00001205,15741
C00001233,15756
C00030479,15756
C00001333,16958
C00001332,16977
C00019635,17345
C00000128,1890
C00001365,17588
C00000446,18435
C00007530,26836
C00001363,15971
C00001386,17295
C00019686,17621
C00007408,26078
C00007249,20506
C00002682,30816
C00019675,30831
C00001178,30832
C00033964,30838
C00007563,30841
C00000151,30845
C00001177,32805
C00001218,30776
C00001387,30913
C00000769,30915
C00007482,29042
C00007564,29052
C00032409,32934
C00007246,15820
C00019561,29888
C00001489,27842
C00000125,29028
C00000486,17637
C00019639,17677
C00001185,32398
C00001342,17053
C00007288,15978
C00019577,15966
C00019352,17985
C00007571,29750
C00001122,4167
C00000127,1865
C00001128,28140
C00030540,34800
C00001128,33980
C00001197,30744
C00000750,30745
C00001182,30751
C00000856,30763
C00007619,30769
C00001180,30772
C00001340,16467
C00001397,17895
C00001221,30805
C00042390,17177
C00019358,16264
C00007291,17750
C00000126,27506
C00023781,28113
C00007389,35374
C00001245,4608
C00001164,17268
