source,target
C00002669,19
C00007477,38
C00052148,47
C00007623,49
C00000769,51
C00019675,58
C00019677,70
C00000770,71
C00002668,72
C00007568,86
C00052144,87
C00007458,96
C00007464,98
C00000776,102
C00007489,104
C00019657,105
C00052317,107
C00019656,118
C00001337,119
C00029533,125
C00002657,126
C00000856,135
C00007378,137
C00052162,138
C00007409,174
C00001176,176
C00007392,177
C00052793,178
C00048304,180
C00048954,180
C00019559,186
C00054040,187
C00001490,190
C00001178,196
C00001400,199
C00007470,203
C00007607,216
C00007609,217
C00007267,222
C00007382,227
C00001333,239
C00034452,240
C00000207,243
C00029811,244
C00007291,247
C00035814,263
C00001180,264
C00001403,273
C00007513,278
C00001182,284
C00002644,289
C00007298,305
C00007619,311
C00007284,321
C00002460,323
C00032864,325
C00003039,326
C00029546,332
C00030878,335
C00000206,338
C00035128,342
C00035857,356
C00002665,359
C00051748,368
C00053807,368
C00002647,370
C00001231,379
C00001199,385
C00000108,397
C00007266,402
C00007404,428
C00052142,441
C00052343,447
C00030880,454
C00007463,456
C00052106,457
C00029459,460
C00055626,460
C00002654,460
C00030483,464
C00007474,473
C00001530,485
C00052349,487
C00000799,490
C00053195,500
C00001404,502
C00007561,529
C00007566,535
C00040996,547
C00001194,563
C00018263,572
C00052250,586
C00052251,588
C00001498,597
C00000761,598
C00052800,601
C00052035,647
C00007294,647
C00052161,649
C00054085,660
C00007560,668
C00053166,670
C00000736,671
C00052266,673
C00053120,679
C00001408,681
C00051838,682
C00007279,700
C00019560,702
C00001184,743
C00001361,750
C00001163,753
C00007457,756
C00007461,757
C00001186,760
C00051746,763
C00007569,768
C00001414,774
C00007494,777
C00007309,780
C00002656,785
C00053330,787
C00007374,788
C00001502,790
C00007308,792
C00054098,795
C00051740,796
C00001418,798
C00000109,800
C00000100,802
C00007571,803
C00033964,811
C00052718,825
C00051833,836
C00053261,844
C00053438,863
C00001193,867
C00002756,873
C00001258,878
C00007562,880
C00051737,892
C00053119,892
C00000762,893
C00052006,896
C00001259,931
C00000209,936
C00000208,938
C00000743,955
C00001264,957
C00007563,964
C00019689,967
C00052044,970
C00001197,970
C00001198,971
C00053618,974
C00001401,978
C00051851,979
C00052716,979
C00007512,979
C00007542,984
C00030479,985
C00001233,985
C00053633,991
C00007496,992
C00002664,996
C00051759,997
C00000751,997
C00007535,998
C00000750,999
C00001426,1001
C00052385,1004
C00007408,1004
C00000798,1005
C00007299,1014
C00055600,1017
C00002063,1018
C00007339,1021
C00019561,1023
C00053736,1024
C00044287,1032
C00001428,1045
C00053734,1049
C00007509,1050
C00007503,1051
C00007504,1052
C00007506,1053
C00001551,1054
C00007505,1055
C00002670,1057
C00001200,1060
C00007381,1066
C00053130,1068
C00052407,1088
C00019662,1099
C00001431,1102
C00001432,1103
C00001205,1110
C00019682,1112
C00007530,1118
C00048188,1123
C00000775,1130
C00019628,1131
C00019627,1132
C00001511,1135
C00007610,1136
C00007608,1137
C00001433,1146
C00056269,1148
C00001434,1150
C00001513,1174
C00007301,1175
C00007314,1176
C00007373,1179
C00029531,1183
C00002683,1183
C00019660,1188
C00051879,1194
C00052039,1195
C00000848,1195
C00052427,1245
C00052341,1292
C00051772,1316
C00052034,1316
C00033540,1483
C00033542,1491
C00042143,1533
C00054034,1647
C00001187,1662
C00042132,1669
C00051978,1669
C00018684,1678
C00029504,1738
C00042126,1748
C00000104,1826
C00001420,1832
C00051985,1833
C00013517,1849
C00027520,1941
C00044491,1983
C00052180,2015
C00052153,2148
C00001510,2153
C00026803,2189
C00026805,2191
C00002689,2214
C00002020,2230
C00027516,2236
C00032730,2236
C00001526,2236
C00054084,2244
C00045634,2266
C00045680,2300
C00042277,2331
C00019221,2345
C00032761,2346
C00007675,2346
C00040340,2347
C00001819,2353
C00000575,2355
C00033777,2513
C00001492,2519
C00007407,2526
C00043357,2595
C00043358,2596
C00043359,2597
C00043360,2598
C00052572,2682
C00024634,2703
C00024660,2703
C00002645,2879
C00053099,2901
C00042448,2946
C00027084,2947
C00048682,2948
C00002804,2950
C00001213,2969
C00016874,2990
C00054000,2998
C00053140,3026
C00055728,3102
C00031079,3108
C00045533,3109
C00032053,3134
C00051814,3197
C00001716,3213
C00002822,3218
C00000555,3220
C00000619,3314
C00000800,3415
C00002040,3442
C00002648,3469
C00053267,3496
C00038078,3503
C00038103,3503
C00003136,3503
C00003138,3515
C00002043,3532
C00001735,3564
C00003062,3611
C00051904,3614
C00053334,3657
C00041598,3712
C00030512,3715
C00000115,3744
C00046044,3756
C00009382,3764
C00048438,3776
C00000144,3806
C00017791,3815
C00001504,3830
C00041026,3840
C00026453,3845
C00026494,3845
C00002836,3885
C00001221,3893
C00028455,3894
C00033155,4002
C00052346,4059
C00001419,4076
C00000576,4114
C00030767,4133
C00018085,4198
C00055912,4216
C00001423,4266
C00002762,4276
C00042777,4382
C00018663,4461
C00001894,4501
C00027467,4680
C00001899,4680
C00039930,4687
C00007936,4788
C00002493,4825
C00053570,4867
C00002562,4871
C00001906,4970
C00001427,4980
C00002671,5054
C00052622,5126
C00002771,5144
C00024663,5154
C00001917,5154
C00001202,5192
C00001429,5202
C00001196,5237
C00032087,5281
C00001238,5281
C00026485,5298
C00052413,5312
C00001509,5429
C00054037,5541
C00001555,5570
C00002502,5585
C00001435,5610
C00018668,5746
C00001763,5770
C00053746,5779
C00001173,5780
C00042066,5787
C00019698,5789
C00056079,5794
C00007533,5801
C00001370,5810
C00029643,5816
C00042226,5826
C00001351,5862
C00003663,5870
C00002355,5910
C00053577,5942
C00010979,5944
C00001332,5950
C00001393,5951
C00001342,5960
C00001359,5961
C00001378,5962
C00001783,5978
C00001757,5983
C00033848,5984
C00003648,5997
C00001927,6000
C00003675,6013
C00052260,6036
C00001539,6037
C00044432,6038
C00001357,6047
C00002663,6054
C00001397,6057
C00002270,6070
C00026521,6088
C00051820,6088
C00001407,6089
C00001377,6106
C00000754,6112
C00003644,6128
C00001379,6137
C00001386,6140
C00002327,6167
C00000357,6184
C00032213,6185
C00047211,6197
C00047828,6197
C00000297,6199
C00002340,6223
C00056003,6228
C00001165,6251
C00054108,6253
C00001384,6262
C00001341,6267
C00001363,6274
C00035784,6276
C00029202,6280
C00001398,6287
C00001394,6288
C00032009,6291
C00002785,6293
C00001495,6303
C00001396,6305
C00001374,6306
C00001340,6322
C00000175,6325
C00001268,6364
C00000003,6466
C00053824,6517
C00030540,6544
C00053828,6548
C00046784,6557
C00053987,6568
C00054019,6569
C00034423,6581
C00048479,6584
C00029462,6590
C00001550,6613
C00052112,6657
C00002857,6683
C00002447,6716
C00011201,6717
C00052160,6723
C00001430,6736
