<reference#3000f378b7090469bf4c80b448388485>	28951771	A.Och et al.,Oxi.Med.Cell.Long.,2017,(2017),9369872.1-7
<reference#bf8c6aa168a7241798b2050cde0856ac>	26092760	A.Kumar et al.,European J.Pharmacol.,761,(2015),288-297
<reference#5455e7f041118179008d81f16d44394f>	23385146	J.M.Hagel et al.,Plant Cell Physiol.,54,(2013),647-672
<reference#45d665a827dc81f2657e4068fbdc8310>		Z.H.Mardirossian,Phytochem.,22,(1983),759
<reference#2507684faef326549e67ae57504f7d0d>		Goto,J.Chem.Soc.,(1930),1234
<reference#2f6c40e1cb9013ee69d58627b2377bac>		Chen,Chih Wu Hsueh Pao,31,(1989),296
<reference#4fd68163f37a2f399925394746019a0f>		Chen,Chih.Wu Hsueh Pao,36,(1994),486
<reference#899c2ffab19ab66e2879297413e19cbe>		Chen,Zhiwa Xuebao,36,(1994),486
<reference#d407f2e837b055073ed35e3c6794b87e>	2943115	Chen,Chung-Kuo Yao Li Hsueh Pao,6,(1985),156
<reference#d3c1083c12dc07ce92930a21b7043bda>		Chen,Chung Tsao Yao,16,(1985),1
<reference#d485291738ad7e0e2c651312cd013747>		N.V.Thu,Pharmazie,26,(1971),504
<reference#cb02b9f2eafdeab5a031bfae4cd817e6>	17405004	Jossang,Planta Med.,49,(1983),20
<reference#d6b68b2d317701a5bf86252bc3d5d1e7>		Chakrabarty,Indian J.Chem.B,20,(1990),394
<reference#cf9cfe01a338e49e15a9d17d372522d1>		El-Kawi,J.Nat.Prod.,47,(1984),459
<reference#d9f52b2f51232606050f9926b0e26f9b>		Bou-Abdallah,J.Nat.Prod.,52,(1989),273
<reference#0a9bc9c386cbb165d9ae6312b01649cc>	5105000	Okamoto,Yakugaku Zasshi,91,(1971),684
<reference#149480692122bbb17dbe5bce8802aa05>		Leboeuf,Lolydia,45,(1982),617
<reference#dbfc2e4a2fefed6f7dbaf92b99faa85a>		Rucker,Phytochem., 36,(1994),519
<reference#26b6391a2b15437b0ba1b64edfd702c1>		Ju-ichi,Yakugaku Zasshi,104,(1984),946
<reference#34b848d897310d144755dd6090c73c7b>	19624470	D.K.Liscombe et al,Plant J.,60,(2009),729-743
<reference#225b3eda37061cf3f5bde9ab3f4eb00f>		Slavik,Collect.Czech.Chem.Commun.,56,(1991),1116
<reference#1608bdd4502bdbfc9460c217730f1c88>		Slavikova,Collect.Czech.Chem.Commun.,61,(1996),1047
<reference#0aeddc36538a94b27496b937a3159c22>		Slavikova,Collect.Czech.Chem.Comm.,45,(1980),761
<reference#82cd498f16e94a90355f0d326c2c238b>		Slavik,Collect.Czech.Chem.Commun.,54,(1989),118
<reference#5f58507ca7adab7ff37f42cf9ed7486c>		Slavik,Collect.Czech.Chem.Comm.,46,(1981),2587
<reference#344e4cd1182001a921e78fb131a6d92c>		Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979)
<reference#72ebfd8bce93bd11a6c365351cea66c7>		Gupta, D. et al., Can. J. Chem., 1980, 58, 1350-1354
<reference#2078a6ea098ff0afc87dc180e12580b2>		 1981, 59, 543-548 (synth, ms)
<reference#0749fb5f61f65d300e422019550ef5f8>		Alimova,Khim.Prir.Soedin.,(1979),474
<reference#fd1fb4e4895d54fc4b4526688952f746>		 Alimova,CA,93,(1979),46912x
<reference#cc9c8f4f27281181b65ced27e8869dc0>		Kiryakov,Phytochem.,20,(1981),1721
<reference#f92e70d60d53d808fcf0134ced944fca>		Kiryakov,Dokl.Bolg.Akad.Nauk,33,(1980),1377
<reference#9effe1c423a120f2f24cf69c647f7cd2>		M.E.Popova,Planta Med.,45,(1982),120
<reference#7db0a44df14bf86d480b3f468f0aaecc>		 Blasko,Lloydia,44,(1981),475
<reference#d66f1d4b8436dbf3d424b93f72ba73b8>		 Hussain,Lloydia,44,(1981),169
<reference#46efefea0049eb2e27df5c4fa81bea6b>		Sousek,Phytochem.Anal.,10,(1999),6
<reference#332d3d49fb017a2e572d9898ae45e98d>		Abou-Donia,Planta Med.,40,(1980),295
<reference#3e6fc6d3fc4d24716232c3ccd261c484>		Atta-ur-Rahmann,Fitoterapia,63,(1992),129
<reference#43e96336f245f8f038be6f16234069f9>		Tripathi,Phytochem.,31,(1992),2188
<reference#12c0a63ddd18ea88741439a23665274a>		Kucukboyaci,Nat.Prod.Sci.,4,(1998),257
<reference#d3af66fa437d2a74d195d17391abbe17>		Manske,Can.J.Chem.,56,(1978),383
<reference#fcb7b890e0a2608ce08d00ed03b10286>		Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
<reference#f2e44c46d165f1a2fb7721f685049f73>		Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).
