	
-	
7 species of butterflies	
AB 1246E-26 (NRRL 18371)	
ASolanum tuberosum	
Aaptos aaptos	253165
Aaptos ciliata	1451273
Abacopteris penangiana	
Abelia x grandiflora	105883
Abeliophyllum distichum	126358
Abelmoschus esculentus	455045
Abelmoschus manihot	183220
Abelmoschus moschatus	1170222
Abelmoschus spp.	
Abies alba	45372
Abies amabilis	97174
Abies balsamea	90345
Abies chensiensis	425836
Abies excelsa	
Abies grandis	46611
Abies koreana	97170
Abies lasiocarpa	34340
Abies magnifica	3320
Abies mariesii	78263
Abies pindrow	425843
Abies pinsapo	56046
Abies sachalinensis	78264
Abies sibirica	97169
Abies spp.	
Abies veitchii	78262
Abies webbiana	
Abronia latifolia	2067805
Abrosia confertiflora	
Abrotanella spp.	
Abrus fruticulosus	2588999
Abrus precatorius	3816
Abrus precatorius L.	
Abrus pulchellus	192852
Abrus pulchellus subsp. cantoniensis	858909
Abuta bulata Moldenke	
Abuta bullata	2662151
Abuta concolor	
Abuta grandifolia (Mart.) Sandw.Kew.	
Abuta grisebachii	
Abuta grisebachii Triana & Planch	
Abuta imene Eichl.	
Abuta omene	
Abuta pahni (Martius) Krukoff & Barneby	
Abuta rufescens Abul.	
Abuta sp.	
Abuta splendida Krukoff & Moldenke	
Abutilon grandiflorum	2511948
Abutilon grandifolium	424428
Abutilon indicum	318060
Acacia acuminata	178749
Acacia adunca	204988
Acacia arabica	658885
Acacia atramentaria	
Acacia auriculiformis	205027
Acacia baileyana	383632
Acacia binervata	138512
Acacia buxifolia	1174746
Acacia calamifolia	139006
Acacia cardiophylla	383638
Acacia carnei	
Acacia chrysotricha	1174753
Acacia chundra	
Acacia clunies-rossiae	1174755
Acacia concinna	1524234
Acacia concurrens	1173642
Acacia confusa	3809
Acacia constablei	383640
Acacia crombei	
Acacia cultriformis	138515
Acacia cyperophylla	198744
Acacia dealbata	205042
Acacia deanei	205356
Acacia decora	1174771
Acacia decurrens	205044
Acacia ehrenbergiana	1179190
Acacia elata	138021
Acacia excelsa	1174788
Acacia falciformis	139008
Acacia fasciculifera	138022
Acacia filicifolia	383643
Acacia fimbriata	21010
Acacia furcatispina	370701
Acacia harpophylla	669369
Acacia holosericea	1120455
Acacia homalophylla	
Acacia horrida	
Acacia intertexta	
Acacia irrorata	383645
Acacia ixiophylla	1120458
Acacia karoo	
Acacia kempeana	1120459
Acacia kettlewelliae	1378370
Acacia lanigera	
Acacia latifolia	1469224
Acacia leucoclada	138518
Acacia longifolia	139010
Acacia mabellae	383647
Acacia maidenii	795978
Acacia mearnsii	139012
Acacia melanoxylon	138028
Acacia mollifolia	383648
Acacia mollissima	
Acacia neovernicosa	199150
Acacia neriifolia	205053
Acacia nigescens	
Acacia obtusifolia	866003
Acacia omalophylla	1173659
Acacia orites	866004
Acacia oshanesii	383653
Acacia oswaldii	139013
Acacia parramattensis	138037
Acacia pendula	1173660
Acacia peuce	1174866
Acacia phlebophylla	866006
Acacia polyacantha subsp.camphylacantha	
Acacia praecox	
Acacia pycnantha	880440
Acacia retinodes	1050817
Acacia rhodoxylon	
Acacia rigens	694556
Acacia rubida	1280824
Acacia saligna	420411
Acacia saxatilis	1300370
