cid	metabolite	category	function	targetsp	reference
	9,12,15-Octadecatrienoic acid, methyl ester	Antidermatitic	Comedolytic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Antihyperlipidemic	Hypocholesterolemic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Antihypertensive	Anticoronary		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Anti-inflammatory	Antiinflammatory		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Hemostatic	Antifibrinolytic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Hormonal	Antiandrogenic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Immunomodulative	Immunomodulator		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Other cardiovascular agent	Antiarteriosclerotic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Other digestive organ agent	Hepatoprotective		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Other genitourinary agent	Antimenorrhagic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Other genitourinary agent	Antiprostatitic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Other health agent	Antialopecic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester		Antigranular		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	Castillicetin	Antioxidant	Antioxidant		Subban et al.,Journal of natural medicines,62(3),(2008),369-373
	Castilliferol	Antioxidant	Antioxidant		Subban et al.,Journal of natural medicines,62(3),(2008),369-373
	Cibotiglycerol	Other cardiovascular agent	Antiosteoclastogenic activities		Cuong et al.,Journal of natural products,72(9),(2009),1673-1677
	Dicaffeoylquinic acid 1	Antioxidant	Antioxidative properties		Helmja et al.,Electrophoresis,29(19),(2008),3980-3988
	Dicaffeoylquinic acid 2	Antioxidant	Antioxidative properties		Helmja et al.,Electrophoresis,29(19),(2008),3980-3988
	Falcarindiol-3-acetate	Anti-inflammatory	Anti-inflammatory		Kidmose et al.,Journal of Food Science,69(9(,(2004),S388-S394.
	Falcarindiol-3-acetate	Antituberculotic	Antituberculosis		Kidmose et al.,Journal of Food Science,69(9(,(2004),S388-S394.
	Falcarindiol-3-acetate	Antitumor	Anti-tumor		Kidmose et al.,Journal of Food Science,69(9(,(2004),S388-S394.
	Formic acid, 1 methylethyl ester	Antidiarrheic	Astringent		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	Formic acid, 1 methylethyl ester	Antiseptic	Antiseptic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	Formic acid, 1 methylethyl ester	Other health agent	Antisyncopic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	Isocoumarin 6-methoxymellein	Antifungal	Fungal infections		Kidmose et al.,Journal of Food Science,69(9(,(2004),S388-S394.
	Merremosides b	Antidepressant	Antiserotonic		Kitagawa et al.,Chemical & pharmaceutical bulletin,36(4),(1988),1618-1621
	Merremosides d	Antidepressant	Antiserotonic		Kitagawa et al.,Chemical & pharmaceutical bulletin,36(4),(1988),1618-1621
	Naringenin glucoside	Antioxidant	Antioxidant and the antioxidative capability of chlorogenic		Helmja et al.,Electrophoresis,29(19),(2008),3980-3988
	Octadecanoic acid, methyl ester	Antioxidant	Antioxidant		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	Octadecanoic acid, methyl ester	Hemostatic	Antifibrinolytic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	Octadecanoic acid, methyl ester	Other health agent	Antialopecic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	Pogostone	Antibacterial	Antibacterial		Hu et al.,Journal of pharmaceutical and biomedical analysis,42(2),(2006),200-206
	Protosappanin A	Antioxidant	Antioxidant activity		Hu et al.,Tsinghua Science & Technology,13(4),(2008),474-479
	Protosappanin B	Antioxidant	Antioxidant activity		Hu et al.,Tsinghua Science & Technology,13(4),(2008),474-479
	Pyridine	Sedative	CNS –depressant		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
C00004803	Natsudaidain;3-Hydroxy-3',4',5,6,7,8-hexamethoxyflavone;2-(3,4-Dimethoxyphenyl)-3-hydroxy-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one	Antiallergic	Anti-allergic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00004803	Natsudaidain;3-Hydroxy-3',4',5,6,7,8-hexamethoxyflavone;2-(3,4-Dimethoxyphenyl)-3-hydroxy-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one	Anticancer	Anti-cancer activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00004803	Natsudaidain;3-Hydroxy-3',4',5,6,7,8-hexamethoxyflavone;2-(3,4-Dimethoxyphenyl)-3-hydroxy-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one	Anti-inflammatory	Anti-inflammatory activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00004803	Natsudaidain;3-Hydroxy-3',4',5,6,7,8-hexamethoxyflavone;2-(3,4-Dimethoxyphenyl)-3-hydroxy-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one	Antimicrobial	Anti-microbial activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00004803	Natsudaidain;3-Hydroxy-3',4',5,6,7,8-hexamethoxyflavone;2-(3,4-Dimethoxyphenyl)-3-hydroxy-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one	Antioxidant	Anti-oxidant activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00005413	Rutin;Birutan;Quercetin 3-O-alpha-L-rhamnopyranosyl-(1->6)-beta-D-glucopyranoside;Quercetin 3-O-beta-rutinoside;(+)-Quercetin 3-O-beta-rutinoside;Quercetin 3-O-rutinoside;(+)-Quercetin 3-O-rutinoside;3,3',4',5,7-Pentahydroxyflavone 3-rutinoside;3-Rutinosylquercetin	Antioxidant	Antioxidative properties		Helmja et al.,Electrophoresis,29(19),(2008),3980-3988
C00012467	Zerumbone	Anti-inflammatory	Antiinflammatory		Bhuiyan et al.,Bangladesh Journal of Pharmacology,4(1),(2008),9-12
C00012467	Zerumbone	Antimicrobial	Antimicrobial		Bhuiyan et al.,Bangladesh Journal of Pharmacology,4(1),(2008),9-12
C00012467	Zerumbone	Antioxidant	Antioxidant		Bhuiyan et al.,Bangladesh Journal of Pharmacology,4(1),(2008),9-12
C00012467	Zerumbone	Antiulcerogenic	Anti-ulceration		Bhuiyan et al.,Bangladesh Journal of Pharmacology,4(1),(2008),9-12
C00019348	1-Naphthoic acid	Toxic	Cataractagenic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
C00023387	15,16-Dinor-8(17),11E-labdadien-13-one	Anticancer	Potent protein tyrosine phosphatase 1B (PTP1B) inhibitory activity		Saifudin et al.,Journal of natural products,76(2),(2013),223-229
C00023769	Clionasterol;gamma-Sitosterol	Antihyperlipidemic	To treat hypercholesterolemia		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
C00027433	Laurolitsine;(+)-Laurolitsine;(+)-Norboldine	Antihypertensive	Blood pressure lowering activity		Yang et al.,Helvetica chimica acta,88(9),(2005),2523-2526
C00030755	Methyl hexadecanoate;Methyl palmitate	Antihyperlipidemic	To treat hypercholesterolemia		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
C00030755	Methyl hexadecanoate;Methyl palmitate	Hormonal	To treat antiandrogenic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
C00031592	Americanin;Americanin A	Antioxidant	Antioxidant		Su et al.,Journal of natural products,68(4),(2005),592-595
C00032635	3-Hydroxytyrosol;3,4-Dihydroxyphenethyl alcohol;Hydroxytyrosol	Antihyperlipidemic	Hypoglycaemic, hypolipidaemic, hypocholesterolic		Silva et al.,Food Science and Technology International,12(5),(2006),385-395.
C00032635	3-Hydroxytyrosol;3,4-Dihydroxyphenethyl alcohol;Hydroxytyrosol	Antimicrobial	Antimicrobial		Silva et al.,Food Science and Technology International,12(5),(2006),385-395.
C00032635	3-Hydroxytyrosol;3,4-Dihydroxyphenethyl alcohol;Hydroxytyrosol	Antioxidant	Antioxidant and free radical-scaveging actions		Silva et al.,Food Science and Technology International,12(5),(2006),385-395.
C00032855	Corchoionoside C;(+)-Corchoionoside C	Other cardiovascular agent	Antiosteoclastogenic activities		Cuong et al.,Journal of natural products,72(9),(2009),1673-1677
C00036783	Atraric acid;Methyl beta-Orsellinate	Hormonal	Antiandrogenic		Schleich et al.,Planta medica,72(6),(2006),547
C00043123	Zerumin A;(+)-Zerumin A	Anticancer	Potent protein tyrosine phosphatase 1B (PTP1B) inhibitory activity		Saifudin et al.,Journal of natural products,76(2),(2013),223-229
C00047639	14,15beta-Dihydroxyklaineanone	Antitumor	Antitumor promotion		Jiwajinda et al.,Journal of ethnopharmacology,82(1),(2002),55-58
C00047804	Cibotiumbaroside B;(-)-Cibotiumbaroside B	Other cardiovascular agent	Antiosteoclastogenic activities		Cuong et al.,Journal of natural products,72(9),(2009),1673-1677
C00047981	Longilactone	Anthelmintic	Antischistosomal effect		Jiwajinda et al.,Journal of ethnopharmacology,82(1),(2002),55-58
C00050040	Cryptolepinone	Antihypertensive	Vasorelaxant activity		Chaves et al.,Molecules,18(3),(2013),2769-2777
C00051735	Synephrine	Other health agent	Reduce fat mass in obese humans		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
	(-)-Illicinone-A	Anti-HIV	Anti-HIV activity		Song et al.,Planta medica,73(04),(2007),372-375
	(2S)-3-O-(9Z,12Z-octadecadienoyl)glyceryl-beta-D-galactopyranoside	Other cardiovascular agent	Antiosteoclastogenic activities		Cuong et al.,Journal of natural products,72(9),(2009),1673-1677
	11-Dehydroklaineanone	Antimalarial	Potent plasmodial activity		Jiwajinda et al.,Journal of ethnopharmacology,82(1),(2002),55-58
	15beta-O-acetyl-14-hydroxyklaineanone	Antimalarial	Potent plasmodial activity		Jiwajinda et al.,Journal of ethnopharmacology,82(1),(2002),55-58
	3,4-Seco-(24Z)-cycloart-4(28),24-diene-3,26-dioic acid, 26-methyl ester	Anti-HIV	Anti-HIV activity		Song et al.,Planta medica,73(04),(2007),372-375
	4-(2-formyl-5-hydroxymethylpyrrol-1-yl) butyric acid	Other health agent	Improve blood circulation and promote hair growth		Sang et al.,Journal of agricultural and food chemistry,50(22),(2002),6318-6321.
	9,12,15-Octadecatrienoic acid, methyl ester	Antiallergic	Antianaphylactic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Antiallergic	Antihistaminic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Antiarthritic	Antiarthritic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Anticancer	Cancer-Preventive		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
