activity	sp2
12-Lipoxygenase inhibitor	Chelidonium majus/Theobroma cacao
15-Lipoxygenase inhibitor	Theobroma cacao
3-Ketosteroid reductase inhibitor	Serenoa repens
5-alpha-reductase inhibitor	Cucurbita pepo/Hypoxis sp.
5-Lipoxygenase inhibitor	Allium ursinum/Anacardium occidentale/Anacyclus pyrethrum/Boswellia serrata/Capsicum spp./Cetraria islandica/Chelidonium majus/Echinacea spp./Heisteria acuminata/Hymenaea courbaril/Jacaranda caucana/Nigella sativa/Serenoa repens/Silybum marianum/Theobroma cacao/Uncaria tomentosa/Urtica dioica
A-beta-blocker	Genipa americana/Theobroma cacao
Abortifacient	Abelmoschus esculentus/Abies balsamea/Abrus precatorius/Acacia catechu/Acanthospermum australe/Acanthospermum hispidum/Achillea millefolium/Achyranthes aspera/Actaea racemosa/Adiantum capillus-veneris/Aegle marmelos/Agava sisalana/Ageratum conyzoides/Alnus viridis/Aloe vera/Alternanthera pungens/Amaranthus caudatus/Anacyclus pyrethrum/Ananas comosus/Andrographis paniculata/Anemore pulsatilla/Angelica archangelica/Annona glabra/Annona squamosa/Apium graveolens/Apocynum cannabinum/Areca catechu/Aristolochia triangularis/Aristolochia trilobata/Armoracia rusticana/Artemisia absinthium/Artemisia ludoviciana/Artemisia vulgaris/Asclepias tuberosa/Averrhoa carambola/Baccharis articulata/Bocconia frutescens/Boerhavia diffusa/Boswellia sacra/Brassica juncea/Brassica nigra/Bromelia plumieri/Brunfelsia grandiflora/Brunfelsia uniflora/Bryonia alba/Bursera graveolens/Caesalpinia bonduc/Caesalpinia pulcherrima/Caladium bicolor/Calendula officinalis/Calotropis procera/Cannabis sativa/Cardiospermum halicacabum/Carica papaya/Carthamus tinctorius/Casearia sylvestris/Cassia fistula/Cassia grandis/Caulophyllum thalictroides/Ceanothus americanus/Celastrus paniculatus/Chamaemelum nobile/Chelidonium majus/Chenopodium ambrosioides/Chiococca alba/Chrysobalanus icaco/Cinchona officinalis/Cinchona pubescens/Cinnamomum camphora/Citrullus colocynthis/Costus speciosus/Crescentia cujete/Crocus sativus/Croton tiglium/Cuminum cyminum/Cymbopogon citratus/Cyperus articulatus/Cytisus scoparius/Daphne mezereum/Daucus carota/Dianthus chinensis/Dryopteris filix-mas/Dysphania ambrosioides/Elettaria cardamomum/Eleutherine bulbosa/Equisetum giganteum/Equisetum hyemale/Eryngium foetidum/Euphorbia resinifera/Fagus grandifolia/Foeniculum vulgare/Fragaria virginiana/Gardenia jasminoides/Genipa americana/Gloriosa superba/Gossypium barbadense/Gossypium herbaceum/Gossypium hirsutum/Grindelia squarrosa/Guaiacum officinale/Guariacum officinale/Haematoxylum campechianum/Hagenia abyssinica/Hedeoma pulegioides/Heliotropium indicum/Helleborus niger/Hibiscus sabdariffa/Hordeum vulgare/Hyptis mutabilis/Hyssopus officinalis/Indigofera suffruticosa/Ipomoea batatas/Jatropha curcas/Jatropha multifida/Juniperus sabina/Juniperus virginiana/Justicia adhatoda/Justicia pectoralis/Larrea tridentata/Laurus nobilis/Lawsonia inermis/Ledum groenlandicum/Ledum palustre/Lepidium sativum/Leucaena leucocephala/Lindera benzoin/Lippia graveolens/Luffa acutangula/Luffa operculata/Lupinus mutabilis/Maytenus ilicifolia/Medicago sativa/Melia azedarach/Melicoccus bijugatus/Mentha pulegium/Michelia champaca/Mikania guaco/Mimosa pudica/Mirabilis jalapa/Momordica charantia/Monarda didyma/Moringa oleifera/Mucuna pruriens/Myristica fragrans/Narcissus tazetta/Nepeta cataria/Neriu oleander/Nigella sativa/Ocimum tenuiflorum/Oryza sativa/Paeonia officinalis/Papaver somniferum/Parkinsonia aculeata/Passiflora quadrangularis/Pastinaca sativa/Paullinia pinnata/Pedilanthus tithymaloides/Peganum harmala/Persea americana/Petiveria alliacea/Petroselinum crispum/Peumus boldus/Phoradendron leucarpum/Phyla dulcis/Phyllanthus niruri/Physalis alkekengi/Phytolacca americana/Pimpinella anisum/Pinellia ternata/Piper longum/Piper nigrum/Pluchea carolinensis/Plumbago Zeylanica/Plumeria alba/Plumeria rubra/Psidium guajava/Pueraria montana/Punica granatum/Ranunculus bulbosus/Rosmarinus officinalis/Ruta graveolens/Sanguinaria canadensis/Santalum album/Saraca indica/Scoparia dulcis/Sedum acre/Senecio aureus/Senna alata/Senna occidentalis/Senna tora/Sesamum indicum/Sida acuta/Sida cordifolia/Simarouba amara/Siparuna guianensis/Solanum sessiliflorum/Sonchus oleraceus/Spondias mombin/Stachytarpheta jamaicensis/Strychnos nux-vomica/Styphnolobium japonicum/Swietenia mahagoni/Tabebuia spp./Tanacetum parthenium/Tanacetum vulgare/Taxus baccta/Taxus canadensis/Taxus sp./Tetraclinis articulata/Teucrium cubense/Thevetia peruviana/Thuja occidentalis/Thymus vulgaris/Tradescantia spathacea/Trichosanthes kirilowii/Tsuga canadensis/Turnera ulmifolia/Veratrum viride/Vetiveria zizanioides/Withania somnifera/Xylopia aethiopica/Zanthoxylum spp.
Abortion	Costus speciosus
Abrasion	Commiphora myrrhea
Abscess	Allium sativum/Boswellia sacra/Cocos nucifera/Curcuma longa/Glycyrrhiza glabra/Hibiscus sabdariffa/Moringa oleifera/Tamarindus indica/Trigonella foenum-graecum
