activity	activity_j
12-Lipoxygenase inhibitor	12リポキシゲナーゼ阻害剤
15-Lipoxygenase inhibitor	15リポキシゲナーゼ阻害剤
3-Ketosteroid reductase inhibitor	3ケトステロイド-還元酵素阻害剤
5-alpha-reductase inhibitor	5-Alpha-還元酵素阻害剤
5-Lipoxygenase inhibitor	5リポキシゲナーゼ阻害剤
A-beta-blocker	A-beta-ブロッカー
Abortifacient	堕胎薬
Abortion	妊娠中絶
Abrasion	表皮剥脱
Abscess	膿瘍
Absorbent	吸収剤
Acaricide	ダニ駆除剤
Acetylcholinesterase inhibitor	アセチルコリンエステラーゼ阻害剤
Ache	痛み
Achylia	胃液分泌欠乏(症)、無酸素症
Acid indigestion	胃酸過多
Acidulant	酸味料
Acne	にきび、挫瘡(ざそう)
Adaptogen	適応促進薬、アダプトゲン
Adaptogenic	強壮効果
Addison's Disease	アジソン病
Adenoma	腺腫、アデノーマ
Adenosis	腺疾患、腺症
Adnexosis	-
Adrenal Insufficiency	副腎不全(症)
Adrenal stimulant	副腎刺激
Adrenergic	アドレナリン
Adrenocortical stimulant	副腎皮質刺激剤
adrenocorticotropic hormone genic 	副腎皮質刺激ホルモン生成
Adrenolytic	抗アドレナリン
Advanced glycation endproducts inhibitor	後期糖化阻害剤
Aegilops	眼内角穿孔性膿瘍
Aggregant	-
Aging	加齢
Agoraphobia	広場[臨場]恐怖(症)
Ague	悪寒
Alcohol dehydrogenase inhibitor	アルコール脱水素酵素阻害剤
Alcoholism	アルコール中毒(症)
Aldose reductase inhibitor	アルドース還元酵素阻害剤
Alexeteric	解毒作用
Algicide	殺藻剤、除藻剤
Allelochemic	アレロケミカル
Allergenic	アレルギー生成
Alopecia	脱毛(症)
Alpha-2-adrenergic agonist	Alpha-2-アドレナリン作動薬
Alpha-2-adrenergic Inhibitor	Alpha-2-アドレナリン阻害薬
Alpha-adrenergic	Alpha受容体、アルファアドレナリン受容体
Alpha-adreno inhibitor	Alpha副腎阻害剤
Alpha-amylase Inhibitor	Alphaアミラーゼ阻害剤
Alpha-glucosidase inhibitor	Alphaグルコシダーゼ阻害剤
Alpha-mannosidase inhibitor	Alphaマンノシダーゼ-阻害剤
Alpha-reductase inhibitor	Alpha還元酵素阻害剤
Alterative	体質改善剤
Altitude sickness	高山病
Alzheimer's disease	アルツハイマー病
Amebiasis	アメーバ赤痢
Amebicide	抗アメーバ薬
Amenorrhea	無月経
Amnesia	健忘(症)
AMP inhbitor	AMP阻害剤
Amphicholeretic	-
Amylolytic	アミロース分解性
Anabolic	同化促進
Analeptic	気付け薬
Analgesic	鎮痛剤
Anaphrodisiac	制淫薬
Anaphylaxis	過敏症[性]、アナフィラキシー
Anasarca	全身水腫[浮腫]
Anatiseptic	防腐剤
Androgenic	アンドロゲン
Anemia	貧血
Anesthetic	麻酔薬
