sp	activity	reference
Ziziphus jujuba Mill.	Analgesic(鎮痛剤);Antiaggregant(抗血小板剤);Antiallergic(抗アレルギー);Antianaphylactic(抗アナフィラキシー);Antiarrhythmic(不整脈治療剤);Antibacterial(抗菌);Anticariogenic(う蝕);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antiedemic(抗浮腫性);Antihydrotic(制汗剤);Antiinflammatory(抗炎症);Antiperspirant(制汗剤);Antipyretic(解熱薬);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Antitussive(鎮咳薬);Antiulcerogenic(抗潰瘍);Antiwrinkle(抗しわ);Anxiolytic(抗不安薬);Astringent(収斂性);cAMP-genic;Collyrium(洗眼液);Deodorant(消臭);Depurative(浄化作用);Diuretic(利尿薬);Emmenagogue(通経薬);Emollient(緩和剤);Expectorant(去痰薬);Gastrotonic(胃強壮薬);Hemostat(止血剤);Hepatoprotective(肝保護);Hypnotic(睡眠薬);Hypoglycemic(低血糖);Hypotensive(低血圧);Immunostimulant(免疫賦活剤);Laxative(下剤);Lipolytic(脂肪分解);Myocardioprotective(心筋保護性);Narcotic(麻薬);Pectoral(胸筋);Propecic;Radioprotective(放射線防護);Sedative(鎮静剤);Sialagogue(唾液分泌促進薬);Splenotonic;Stomachic(健胃薬);Tonic(強壮剤);Tranquilizer(精神安定剤);Ulcer(潰瘍);Uterotonic(子宮収縮薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Ziziphus mauritiana Lam.	Analgesic(鎮痛剤);Antipyretic(解熱薬);Aperitif(食前酒);Aphrodisiac(媚薬);Astringent(収斂性);Cardiotonic(強心剤);Cerebrotonic(頭脳型);Collyrium(洗眼液);Contraceptive(避妊薬);Depurative(浄化作用);Diaphoretic(発汗剤);Digestive(消化器);Expectorant(去痰薬);Hemostat(止血剤);Laxative(下剤);Pectoral(胸筋);Sedative(鎮静剤);Stomachic(健胃薬);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Ziziphus spina-christi (L.) Desf.	Analgesic(鎮痛剤);Antipyretic(解熱薬);Antitumor(抗腫瘍);Astringent(収斂性);Collyrium(洗眼液);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Depurative(浄化作用);Emollient(緩和剤);Laxative(下剤);Pectoral(胸筋);Stomachic(健胃薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Xanthosoma sagittifolium (L.) Schott	Analeptic(気付け薬);Antioxidant(酸化防止剤);Cicatrizant(瘢痕形成薬);Fungicide(殺菌剤、防カビ剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Xanthosoma violaceum Schott	Antioxidant(酸化防止剤);Antiradicular(抗神経根);Hemostat(止血剤);Poison(毒);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Ximenia americana L.	Anthelminthic(駆虫薬、虫下し);Anti-HIV(抗HIV);Anticancer(抗ガン);Antiseptic(防腐剤);Antitumor, colorectal(抗腫瘍、大腸);Antiviral(抗ウイルス薬);Astringent(収斂性);Bactericide(殺菌剤);Cathartic(下剤);Cicatrizant(瘢痕形成薬);Cyanogenic(青酸生産);Dentifuge;Emetic(催吐薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Hemostat(止血剤);Hypotensive(低血圧);Insecticide(殺虫剤);Laxative(下剤);Molluscicide(軟体動物駆除剤);Pesticide(農薬);Plasmodicide(抗マラリア薬);Pulicide(ノミ殺薬剤);Purgative(下剤);Ribosome inactivator(リボソーム不活性化);Sterilant(滅菌剤);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Xylopia aethiopica (Dunal) A. Rich	Amenorrhea(無月経);Asthma(喘息);Biliousness(胆汁性、短気);Boil(おでき);Bronchosis(気管支炎);Cancer(ガン);Cardiopathy(心疾患);Childbirth(分娩);Constipation(便秘);Convulsant(けいれんを起こす);Cough(咳);Dermatosis(皮膚病);Dysentery(赤痢);Epilepsy(癲癇);Headache(頭痛);High blood pressure(高血圧);Infertility(不毛);Lumbago(腰痛症);Neuralgia(神経痛);Pain(痛み);Pneumonia(肺炎);Pyorrhea(膿漏症);Rheumatism(リウマチ);Rib Ache;Stomachache(胃痛、腹痛);Toothache(歯痛);Water Retention(水保持)	James A Duke with Mary Jo Bogenschutz-Godwin,Judi duCellier,Peggy-Ann K.Duke(Illustrator),CRC HANDBOOK OF Medicinal Spices,CRC PRESS(2002)
Xylopia aethiopica (Dunal) A. Rich.	Abortifacient(堕胎薬);Anthelminthic(駆虫薬、虫下し);Antiseptic(防腐剤);Carminative(駆風薬);Counterirritant(反対刺激);Emetic(催吐薬);Emmenagogue(通経薬);Laxative(下剤);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Xysmalobium undulatum (L.) R. Brown	Cardioactive(心臓に影響を与える);Motility inhibitor(運動阻害)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Yucca filamentosa 	Antiarthritic(抗関節炎薬);Antiherpetic(抗ヘルペス);Antiinflammatory(抗炎症);Antimelanomic(抗黒皮症);Antitumor(抗腫瘍);Antiviral(抗ウイルス薬);Hemolytic(溶血性);Piscicide(殺魚剤);Sedative(鎮静剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
